Subject,Age,GoAcc,GoRT,NoGoAcc,NoGoRT,LowGoAcc,LowGoRT,LowRTVar,HighGoAcc,HighGoRT,HighRTVar,LowNoGoAcc,LowNoGoRT,HighNoGoAcc,HighNoGoRT,GoAccDiff,Dprime,LowDprime,HighDprime
Sub064,18.63107461,0.984375,0.420402381,0.546875,0.383748276,0.96875,0.422419355,0.05681268,1,0.418448438,0.053771138,0.53125,0.386466667,0.5625,0.380835714,0.03125,2.271644569,1.94114428,2.574869701
Sub065,18.64750171,0.9296875,0.618745378,0.890625,0.601042857,0.921875,0.609174576,0.149199637,0.9375,0.628156667,0.160559005,0.875,0.681375,0.90625,0.493933333,0.015625,2.703326337,2.568146518,2.852131442
Sub066,18.69678303,1,0.606817969,1,nan,1,0.587890625,0.161748088,1,0.625745312,0.17597649,1,nan,1,nan,0,5.077626485,4.57143371,4.57143371
Sub067,18.87474333,1,0.427366406,0.96875,0.4853,1,0.422329687,0.082930364,1,0.432403125,0.10864592,0.96875,0.4018,0.96875,0.5688,0,4.522799336,4.280290884,4.280290884
Sub068,18.92950034,1,0.449046875,0.625,0.416175,1,0.45065625,0.086723677,1,0.4474375,0.068308814,0.625,0.404883333,0.625,0.427466667,0,2.978706833,2.73619838,2.73619838
Sub069,19.23066393,0.9921875,0.488122835,0.8125,0.481675,0.984375,0.497449206,0.102209904,1,0.478942187,0.080308166,0.78125,0.524428571,0.84375,0.42182,0.015625,3.304705575,2.930296455,3.427549185
Sub070,19.38672142,1,0.513196094,0.984375,0.5192,1,0.50320625,0.088837229,1,0.523185937,0.107368743,0.96875,0.5192,1,nan,0,4.813942163,4.280290884,4.57143371
Sub071,19.41683778,0.953125,0.465777869,0.671875,0.434904762,0.921875,0.469979661,0.100608742,0.984375,0.461842857,0.080571985,0.6875,0.44069,0.65625,0.429645455,0.0625,2.121036248,1.906573549,2.556124759
Sub072,19.51266256,1,0.394498437,0.796875,0.375261538,1,0.395234375,0.049839199,1,0.3937625,0.042678263,0.875,0.382075,0.71875,0.372233333,0,3.490578347,3.567908397,2.996691178
Sub073,19.52361396,1,0.440176562,0.859375,0.407722222,1,0.450945312,0.07970064,1,0.429407813,0.062547022,0.78125,0.414428571,0.9375,0.38425,0,3.737583036,3.193980777,3.951679561
Sub074,19.55373032,1,0.4487,1,nan,1,0.451771875,0.048793463,1,0.445628125,0.048989534,1,nan,1,nan,0,5.077626485,4.57143371,4.57143371
Sub075,19.63312799,1,0.419842969,0.890625,0.363714286,1,0.424675,0.067538222,1,0.415010937,0.065543404,0.875,0.35185,0.90625,0.379533333,0,3.889926228,3.567908397,3.735569914
Sub076,19.64134155,0.9375,0.410048333,0.9375,0.3724,0.921875,0.412089831,0.063347568,0.953125,0.40807377,0.083735924,0.90625,0.357566667,0.96875,0.4169,0.03125,3.068241089,2.735808035,3.53867159
Sub077,19.69336071,0.9921875,0.519377165,0.921875,0.59252,1,0.5230875,0.10035029,0.984375,0.515607937,0.1145766,0.96875,0.4684,0.875,0.62355,-0.015625,3.835356154,4.280290884,3.304224074
Sub078,20.02737851,1,0.473072656,0.75,0.4422625,1,0.480379687,0.073969831,1,0.465765625,0.063179463,0.71875,0.434288889,0.78125,0.452514286,0,3.334557219,2.996691178,3.193980777
Sub079,20.08487337,1,0.441290625,0.796875,0.386284615,1,0.433614063,0.070487231,1,0.448967188,0.094077798,0.78125,0.380285714,0.8125,0.393283333,0,3.490578347,3.193980777,3.304705575
Sub080,20.38329911,1,0.538000781,0.921875,0.44556,1,0.549495313,0.136262677,1,0.52650625,0.095169196,0.875,0.4439,0.96875,0.4522,0,4.077864607,3.567908397,4.280290884
Sub081,20.47638604,0.9765625,0.494088,0.671875,0.476938095,0.96875,0.489006452,0.08076761,0.984375,0.499088889,0.077882283,0.6875,0.47747,0.65625,0.476454545,0.015625,2.432524411,2.351508279,2.556124759
Sub082,20.55578371,0.9375,0.877659167,1,nan,0.921875,0.881389831,0.099873319,0.953125,0.87405082,0.079284685,1,nan,1,nan,0.03125,3.951679561,3.571671832,3.829814417
Sub083,20.64613279,1,0.729489844,0.953125,0.653,1,0.71078125,0.183900094,1,0.748198438,0.206896576,0.9375,0.52795,0.96875,0.9031,0,4.336007191,3.951679561,4.280290884
Sub084,20.67624914,1,0.396417969,0.859375,0.398444444,1,0.400314062,0.038254909,1,0.392521875,0.041998777,0.8125,0.3993,0.90625,0.396733333,0,3.737583036,3.304705575,3.735569914
Sub085,20.81587953,1,0.490478906,0.984375,0.4687,1,0.501982813,0.116014532,1,0.478975,0.054938566,1,nan,0.96875,0.4687,0,4.813942163,4.57143371,4.280290884
Sub086,20.93086927,1,0.389775,0.78125,0.35085,1,0.3970125,0.082966305,1,0.3825375,0.082121837,0.875,0.327225,0.6875,0.3603,0,3.43648923,3.567908397,2.906335427
Sub087,20.93908282,1,0.440860156,0.84375,0.41794,1,0.443453125,0.052158087,1,0.438267187,0.067063505,0.78125,0.424242857,0.90625,0.403233333,0,3.670057638,3.193980777,3.735569914
Sub088,20.98288843,0.9765625,0.4748096,0.828125,0.380590909,0.953125,0.490003279,0.151195271,1,0.460328125,0.133581067,0.78125,0.401928571,0.875,0.34325,0.046875,2.934209642,2.452361484,3.567908397
